Protein name,Uniprot ID,NCBI Gene ID,Function,Small-scale evidence,Number of interactions
Slc43a2,D3ZDC2,287532,target gene,No,8
Vtn,Q3KR94,29169,target gene,No,9
Ccdc173,F1MAP6,311113,target gene,No,10
Dnai1,Q5XIL8,500442,target gene,No,11
Ppp1r14b,Q8K3F3,259225,target gene,No,9
Slc35a4,Q91ZR7,257647,target gene,No,7
Zfyve21,A0A0G2K9E1,362789,target gene,No,8
Eef1akmt3,M0R8E0,-,target gene,No,11
Dctn2,Q6AYH5,299850,target gene,No,13
Srp14,B2RYW7,296076,target gene,No,7
Nolc1,P41777,64896,target gene,No,10
Fcgr2a,M0R4F7,116591,target gene,No,4
RT1-N2,Q6MFZ8,360323,target gene,No,3
Ostf1,Q6P686,259275,target gene,No,5
Nop2,D4ACW1,314969,target gene,No,11
Rpl27a,P18445,293418,target gene,No,11
Rufy3,Q5FVJ0,360921,target gene,No,6
Cars,G3V9K0,293638,target gene,No,6
Rida,P52759,65151,target gene,No,10
March5,B0BNF6,294079,target gene,No,12
RGD1561796,A0A096MJ85,360483,target gene,No,11
Hdhd2,Q6AYR6,361351,target gene,No,11
Gng5,P63219,108349548;79218,target gene,No,10
Rbl2,G3V7P7,-,target gene,No,9
Inava,D3ZL84,289399,target gene,No,8
Clec4a3,E9PT25,-,target gene,No,1
Mkx,D3ZUL2,291228,target gene,No,6
RT1-Db1,Q9TQA6,294270,target gene,No,6
Armc2,D4AE64,499470,target gene,No,10
-,A0A096MK45,-,target gene,No,7
Zpr1,D3ZWN1,500989,target gene,No,9
Ptges3l,M0R7Z4,103693432,target gene,No,9
Ttc14,D3ZM05,310314,target gene,No,11
Mpg,D3ZEM0,24561,target gene,No,10
Jarid2,M0RBV7,681740,target gene,No,10
Map2k5,Q62862,29568,target gene,No,9
Fbxo9,Q5U2X1,300849,target gene,No,10
Plekhj1,B4F791,314634,target gene,No,13
Slc39a9,Q3KR82,314275,target gene,No,12
Znhit1,D3ZNG9,100360077,target gene,No,11
Imp3,B2RZ12,315697,target gene,No,7
Pde10a,Q9QYJ6,63885,target gene,No,6
Ptcd1,A2VD13,304278,target gene,No,8
Mfsd13a,A0A0G2JUB6,309454,target gene,No,8
Rwdd1,Q99ND9,259218,target gene,No,10
Gucy1a2,Q9WVI4,66012,target gene,No,5
Nt5c3b,Q6AYP7,360629,target gene,No,9
Slc39a14,D3ZZM0,306009,target gene,No,8
Maco1,Q4V7D3,313618,target gene,No,12
Rbm7,F1M8F0,-,target gene,No,9
Ppcs,D4A6X7,298490,target gene,No,8
Atg3,Q6AZ50,171415,target gene,No,11
Mxd3,G3V831,-,target gene,No,10
Spint2,G3V8S0,292770,target gene,No,7
Taf4b,F1LT11,-,target gene,No,8
Rnh1,A0A0G2K9E0,100360501,target gene,No,7
Cers2,Q3T1K1,310667,target gene,No,8
Snx29,D3ZMN5,-,target gene,No,8
Cdpf1,D4AB90,362975,target gene,No,11
Styxl1,G3V9J5,360792,target gene,No,14
Apoc4,P55797,680551,target gene,No,5
Rnft2,D3ZTN5,304521,target gene,No,11
Klhl28,D4AC05,299103,target gene,No,10
Tm4sf1,D4ACP4,295061,target gene,No,1
Pip5k1a,D3ZSI8,-,target gene,No,8
Carnmt1,A0A0H2UHK4,293871,target gene,No,8
Mtf2,F1LMD5,360905,target gene,No,17
Gucd1,M0R6B5,-,target gene,No,11
Whrn,G3V675,-,target gene,No,6
Acp2,Q642D2,24162,target gene,No,12
Epcam,O55159,171577,target gene,No,8
RGD1563231,M0RCN6,-,target gene,No,4
Mrps12,D3ZQX3,292758,target gene,No,8
Cope,G3V8Q1,290659,target gene,No,11
Gdi1,P50398,25183,target gene,No,8
Enpp5,P84039,316249,target gene,No,7
Hrob,Q6GX86,303566,target gene,No,10
Clba1,Q5RJN9,362793,target gene,No,9
Spopl,A0A0G2KB38,296532,target gene,No,6
Ptov1,Q5U2W6,292888,target gene,No,9
Dnajc24,F1M2S2,362184,target gene,No,8
Gpkow,G3V8Z3,679890,target gene,No,9
Stx8,Q9Z2Q7,59074,target gene,No,7
Atp5me,P29419,140608,target gene,No,9
Mad1l1,D3ZIV3,680006,target gene,No,12
Dapk1,A0A0G2K5V8,306722,target gene,No,5
Slc35a3,Q6AXR5,310808,target gene,No,10
Adra2b,P19328,24174,target gene,No,2
Chm,G3V607,-,target gene,No,6
Rbm3,G3V6P6,114488,target gene,No,7
Oscp1,Q4QQS3,362595,target gene,No,6
Chst5,D4A9P8,307859,target gene,No,1
Tnpo2,D3ZER6,304670,target gene,No,10
Ankrd49,B1WC29,315434,target gene,No,14
Bcar3,D3ZAZ5,310838,target gene,No,6
Prorp,B5DF07,299050,target gene,No,11
Bmp2,G3V8W4,-,target gene,No,7
Asb13,D3ZEJ6,361268,target gene,No,8
Cln6,D3ZZ46,315746,target gene,No,5
Manf,P0C5H9,315989,target gene,No,9
Ggnbp2,Q6GVH5,360584,target gene,No,15
Zfyve16,D4ADF6,499508,target gene,No,9
Maz,A0A0G2KAJ3,-,target gene,No,8
Vps29,B2RZ78,288666,target gene,No,7
Proser3,B2GV25,361541,target gene,No,7
Atf4,Q9ES19,79255,target gene,No,12
Akr7a3,P38918,26760,target gene,No,4
Zfp668,D3ZPP0,309002,target gene,No,10
Rffl,Q8CIN9,282844,target gene,No,10
Vps18,B5DFJ4,296083,target gene,No,11
Pdcl3,Q4KLJ8,316348,target gene,No,12
Taf11,Q5U1X0,309638,target gene,No,9
Wsb1,B3DM89,303336,target gene,No,11
Clk1,D4ADG3,301434,target gene,No,9
Pars2,Q5M7W7,313429,target gene,No,10
Zfp593,B2GV37,298546,target gene,No,9
Slc12a6,G3V6N7,691209,target gene,No,6
Armc1,B0BN83,294948,target gene,No,10
Sik2,E9PSK5,-,target gene,No,9
Eva1c,D4A895,360695,target gene,No,9
Rnf139,M0RCM9,315000,target gene,No,8
Trip12,F1LP64,316575,target gene,No,12
Dync1li2,Q62698,81655,target gene,No,11
Catsper2,Q6AXP6,366174,target gene,No,11
Ttbk1,A0A0G2JTK1,-,target gene,No,5
Cip2a,D3ZF50,360711,target gene,No,11
Ag2,A8IHN8,499839,target gene,No,5
Slc25a11,G3V6H5,-,target gene,No,11
Ankrd42,D3ZA25,293117,target gene,No,6
Dctpp1,Q91VC0,192252,target gene,No,8
Sept4,A0A096MJN4,287606,target gene,No,5
Cdk20,Q4KM34,364666,target gene,No,6
Ube2d3,P61078,81920,target gene,No,11
Tomm20,Q62760,266601,target gene,No,12
Eif4g2,F1LN59,-,target gene,No,9
Tspan33,D3Z967,500065,target gene,No,7
Cep41,Q4KM37,500069,target gene,No,11
Ppif,P29117,282819,target gene,No,10
Ppp6r1,A0A0G2JTK4,361502,target gene,No,8
Matk,P41243,60450,target gene,No,2
Uros,Q5XIF2,309070,target gene,No,12
Cdr2l,D4ABP3,360656,target gene,No,10
Kctd18,D4A827,301436,target gene,No,11
Tmem203,D4ABS8,311800,target gene,No,9
RGD1308775,D3ZFB8,305476,target gene,No,7
Plbd1,Q5U2V4,297694,target gene,No,2
Cog6,Q68FP9,310411,target gene,No,10
Trmt5,F1LYK6,362754,target gene,No,12
Eif4a2,Q5RKI1,303831,target gene,No,15
Ntrk1,P35739,59109,target gene,No,4
Phf21b,D4A9U0,300117,target gene,No,6
Dennd5a,G3V7Q0,308942,target gene,No,7
Adam17,G3V711,-,target gene,No,12
Rhobtb2,Q5BJV7,306004,target gene,No,7
Nat1,P50297,116631,target gene,No,6
Top3a,D4A6J4,-,target gene,No,10
Pygl,P09811,64035,target gene,No,6
Acvr2a,F1MA24,-,target gene,No,6
Dph5,Q569A7,295394,target gene,No,6
Cox18,D4A568,289522,target gene,No,11
Scg5,G3V714,-,target gene,No,3
Ccdc127,G3V7Q3,308060,target gene,No,11
Golph3l,Q66H74,310669,target gene,No,9
Cntfr,M0R9L2,313173,target gene,No,4
Mfsd3,Q4V8E5,500899,target gene,No,9
Nudt2,Q6PEC0,297998,target gene,No,13
Blvra,Q6AZ33,116599,target gene,No,1
G3bp1,D3ZYS7,171092,target gene,No,11
Gpn1,B1WBZ7,688393,target gene,No,11
Ubac1,Q5XIR9,362087,target gene,No,7
Hmx1,D3ZBP8,360960,target gene,No,3
Tmem171,F1LQN5,293634,target gene,No,5
Pgm1,Q499Q4,24645,target gene,No,5
Rlf,D3ZJX1,-,target gene,No,12
Acad10,F1LSP2,-,target gene,No,9
Rtcb,Q6AYT3,362855,target gene,No,8
Clic1,Q6MG61,406864,target gene,No,2
Rassf9,F1LNM7,-,target gene,No,1
Trip4,B5DEP5,315769,target gene,No,9
Mtss1,D3ZYM5,362918,target gene,No,8
Rrp36,D3ZDJ5,-,target gene,No,9
Lyrm7,B4F7A1,686506,target gene,No,12
Plk1,A0A140TAD2,-,target gene,No,9
Rai1,A0A0G2K4G0,303188,target gene,No,3
Ercc1,D3ZAQ9,292673,target gene,No,10
Ppp1r8,B1WC70,313030,target gene,No,11
Neurod6,B5DEY7,500137,target gene,No,1
Rhbg,Q68FT6,310625,target gene,No,6
Brd9,D4ACF5,-,target gene,No,9
Cfap52,B1WBL5,303233,target gene,No,7
Maoa,G3V9Z3,29253,target gene,No,6
Masp1,Q8CHN8,64023,target gene,No,7
Rnmt,Q5U2U7,291534,target gene,No,10
Bard1,A0A0G2K9Y6,-,target gene,No,9
Gins4,G3V8B5,-,target gene,No,12
Nfatc3,A0A0G2JTY4,361400,target gene,No,8
Nectin3,D4A5C0,288124,target gene,No,9
LOC681410,F1M3H8,-,target gene,No,13
Scmh1,A2RRU0,362581,target gene,No,3
Tmem39a,Q5U2V9,288092,target gene,No,9
Paqr6,D4A4X5,681021,target gene,No,4
Nln,A0A0G2JSY3,117041,target gene,No,9
Nfyb,P63140,25336,target gene,No,7
Dnali1,Q4FZV3,298524,target gene,No,7
Cks2,B1WC51,498709,target gene,No,10
Hgf,P17945,24446,target gene,No,1
Uap1,D3ZF39,498272,target gene,No,9
Dhrs7,D4A0T8,-,target gene,No,10
Ago4,F1LUQ5,298533,target gene,No,5
Kirrel2,D4A934,100359836,target gene,No,1
Ccdc65,Q5XIJ8,362994,target gene,No,6
Ccne1,B1WC54,25729,target gene,No,7
Dnaaf4,Q5VJS5,363096,target gene,No,7
Ier5,A0A1W2Q6P5,498256,target gene,No,8
Zdhhc12,Q6DGF5,366014,target gene,No,11
B4galt5,F1LZL3,362275,target gene,No,8
Ddx55,D3ZX56,100362764,target gene,No,10
Nap1l3,Q924R9,170914,target gene,No,4
Pdik1l,D3ZKW5,313609,target gene,No,12
RGD1559909,D3ZK76,362592,target gene,No,8
Sco1,G3V985,497930,target gene,No,6
Pdss1,M0R6Q9,-,target gene,No,11
Neil1,Q4KLM0,367090,target gene,No,10
Setd6,D3ZSK5,291844,target gene,No,7
Brix1,G3V8B4,-,target gene,No,9
Snrpc,D3ZCL3,361808,target gene,No,4
-,M0R6I1,-,target gene,No,2
Ifitm5,G3V7W9,293617,target gene,No,2
P2rx3,P49654,81739,target gene,No,4
Ets1,P41156,24356,target gene,No,11
Amz2,Q400C7,360650,target gene,No,13
Erbb2,Q8K3F9,24337,target gene,No,4
Arsa,Q32KK2,315222,target gene,No,7
Ribc1,Q6AYL4,317431,target gene,No,11
Cog3,Q5XHZ8,361073,target gene,No,10
Tspan11,Q568Y5,312727,target gene,No,3
-,A0A0G2K479,-,target gene,No,10
Uqcc3,P0CD94,690344,target gene,No,7
-,D3Z8T6,-,target gene,No,7
-,D4A172,-,target gene,No,1
Rpl37a,A0A0H2UHU1,-,target gene,No,3
Hjurp,D4A1W1,316602,target gene,No,7
LOC103691261,D4A5G4,-,target gene,No,5
Ppp4r3b,D3ZCR4,360993,target gene,No,12
Col6a6,D3ZL10,-,target gene,No,1
Uqcrh,Q5M9I5,366448,target gene,No,9
Stx16,A0A0G2K528,362283,target gene,No,9
Adamts5,G3V673,-,target gene,No,5
Tert,Q673L6,301965,target gene,No,8
Grk6,A0A0G2K6E5,59076,target gene,No,11
Evi5l,D3ZXM4,-,target gene,No,10
Klhl20,D3Z8N4,304920,target gene,No,8
Uba7,A0A0G2K735,301000,target gene,No,4
Slc17a3,E9PTR8,266730,target gene,No,3
Zfp839,F1M2B6,-,target gene,No,7
Marveld2,A0A0G2K663,365657,target gene,No,7
Ivns1abp,A0A0G2K427,289089,target gene,No,8
Med31,D4A7J4,287475,target gene,No,11
Utp18,D3ZNH2,-,target gene,No,8
Nubp2,Q68FS1,287125,target gene,No,15
Mafg,Q76MX4,64188,target gene,No,10
Ckap2l,D3Z8Z9,680515,target gene,No,7
Ccne2,D3ZQ41,362485,target gene,No,7
Rab3il1,F1LPG6,-,target gene,No,1
RGD1305455,A0A0G2KAX2,288545,target gene,No,9
Slc35b2,Q497A2,501103,target gene,No,8
Dhcr7,Q9Z2Z8,64191,target gene,No,11
Ubtf,P25977,25574,target gene,No,4
Psma6,P60901,29673,target gene,No,10
Phactr4,M0R7T1,-,target gene,No,8
Tmtc4,F1MAQ6,290501,target gene,No,6
Ccno,D3ZHT5,499528,target gene,No,5
Vezt,Q5XI52,299738,target gene,No,9
Abtb1,Q5XIU1,297432,target gene,No,10
Sdhc,Q641Z9,289217,target gene,No,11
Otulinl,F1LN65,-,target gene,No,5
Gpatch3,D4A385,362615,target gene,No,13
Ppa2,D4A830,-,target gene,No,6
Map3k3,B5DF98,303604,target gene,No,10
Tmed3,Q6AY25,300888,target gene,No,8
Lrch1,B2GV98,502020,target gene,No,6
Samd10,F1M2I9,-,target gene,No,4
Trap1a,D3ZMB1,-,target gene,No,1
Ube2t,G3V6M7,360847,target gene,No,1
Med9,A0A0G2K419,-,target gene,No,4
Itpa,D3ZW55,311422,target gene,No,8
Cfap99,A0A0G2K347,305453,target gene,No,5
Tfe3,D3ZAW6,317376,target gene,No,7
Nsa2,Q2I0Y6,171456,target gene,No,11
Ap3m1,Q6IRG9,171126,target gene,No,10
Ak6,Q5EB68,102238592,target gene,No,12
Eri2,D4A625,691484,target gene,No,10
Ect2,D3ZUD0,-,target gene,No,10
Rad50,G3V9X6,-,target gene,No,9
Rpf2,B0BN82,294436,target gene,No,6
Col16a1,F1LND0,-,target gene,No,6
Lrp11,F1M753,292462,target gene,No,9
Dnttip2,D3ZHM7,100910753,target gene,No,12
Egr3,P43301,25148,target gene,No,6
Tcea3,Q5BK74,298559,target gene,No,2
Sarm1,D3ZUM2,287545,target gene,No,8
Tmem267,F1LUB0,499532,target gene,No,3
Pex11b,Q4KM24,310682,target gene,No,16
Nr1i2,Q9R1A7,84385,target gene,No,4
Tepsin,G3V8Y7,360673,target gene,No,9
Ptbp2,Q66H20,310820,target gene,No,9
Zswim2,Q68FQ1,296455,target gene,No,4
Adamts9,D3ZMB0,312566,target gene,No,5
Kmt5b,P0C2N5,361688,target gene,No,3
Slc8b1,Q6AXS0,498185,target gene,No,5
Eif4b,Q5RKG9,300253,target gene,No,9
Gpr108,M0R518,-,target gene,No,9
Swsap1,D3ZWS8,-,target gene,No,8
Ephb3,D3ZH39,287989,target gene,No,7
Btaf1,F1LW16,368042,target gene,No,11
Rbm11,D3ZQ24,288321,target gene,No,6
Ttc39a,D4A4G3,298366,target gene,No,4
Ccm2,A0A0G2JZF5,305505,target gene,No,14
Plpp7,Q5FVJ3,296635,target gene,No,6
Pcm1,A0A0G2K0X1,81740,target gene,No,13
Cpeb2,D3ZHK8,-,target gene,No,10
Rpl5,P09895,81763,target gene,No,12
Prrt2,D3ZFB6,361651,target gene,No,1
Lamc1,F1MAA7,117036,target gene,No,8
Nup88,O08658,113929,target gene,No,9
Map4k4,F1M754,301363,target gene,No,9
Ano6,F1M5Z5,315272,target gene,No,5
Cxxc4,M0RDW5,83824,target gene,No,7
Mtmr9,Q5XIN4,282584,target gene,No,10
Pskh1,A0A0G2K3Z0,-,target gene,No,10
Rcl1,G3V7Z1,309301,target gene,No,8
Nhlrc3,D4A2F6,-,target gene,No,12
Ehmt1,A0A0G2K889,-,target gene,No,10
Tmem170b,Q7TQ79,361230,target gene,No,9
Cuedc2,A1L131,294009,target gene,No,10
Mavs,Q66HG9,311430,target gene,No,6
Id2,P41137,25587,target gene,No,10
Rbks,D3ZVU4,362706,target gene,No,11
Capza2,Q3T1K5,493810,target gene,No,11
Zfp638,D4A0U3,312491,target gene,No,8
LOC691921,D3ZZG3,691921,target gene,No,14
Usp18,Q6AYC7,312688,target gene,No,5
Snapin,P60192,295217,target gene,No,12
Ankzf1,Q66H85,363255,target gene,No,8
Zeb2,E9PTC3,311071,target gene,No,3
Rubcn,A0A0G2K687,-,target gene,No,10
Klhl10,Q6JEL3,303533,target gene,No,8
Actr3,Q4V7C7,81732,target gene,No,10
Tfpt,A0A0G2K9T8,85423,target gene,No,11
Abhd14a,Q5I0C4,300982,target gene,No,9
Bhlha15,P70562,25334,target gene,No,2
Aktip,Q5FVH4,291906,target gene,No,10
Psap,F7EPE0,-,target gene,No,8
Vps13a,D4A899,-,target gene,No,9
Iah1,Q711G3,298917,target gene,No,8
Tpmt,Q9Z0T0,690050,target gene,No,10
Tmem86a,D3ZI62,308602,target gene,No,7
Mea1,Q5FVH7,685131,target gene,No,10
LOC100911356,G3V907,100911356;102548286;289233,target gene,No,7
Cx3cl1,Q6IRF7,89808,target gene,No,7
Nup155,A0A0G2K7T6,-,target gene,No,10
Fhod1,A0A0G2JZ38,291964,target gene,No,7
Polh,D4ADZ0,316235,target gene,No,8
Kcnh5,Q9EPI9,171146,target gene,No,3
Rras,D3Z8L7,361568,target gene,No,9
-,M0R9Y6,-,target gene,No,1
Cebpd,Q03484,25695,target gene,No,6
Prdx6,O35244,94167,target gene,No,7
Poldip2,E9PT51,-,target gene,No,10
Psapl1,M0R3X1,289720,target gene,No,5
Klf16,B2GUY9,690820,target gene,No,9
-,A0A0G2JYS6,-,target gene,No,9
Nat14,D3ZI74,361500,target gene,No,4
Dhx8,A0A0G2K283,287727,target gene,No,11
Nudt22,Q6P9U1,293703,target gene,No,5
Ube3a,F1M7B8,361585,target gene,No,12
-,A0A0G2JVW4,-,target gene,No,12
Neu1,Q6MG70,24591,target gene,No,9
Pglyrp2,M0R485,-,target gene,No,5
Ube2q2,D4A1G2,-,target gene,No,6
Sec23ip,G3V8Q8,309010,target gene,No,14
Slc14a1,M0R8C6,54301,target gene,No,2
Slc5a10,G3V8X5,303205,target gene,No,2
Dhrsx,B2RZ76,-,target gene,No,10
-,A0A0G2K081,-,target gene,No,8
Emc3,Q5U2V8,312640,target gene,No,11
Farsa,Q505J8,288917,target gene,No,8
Rbbp4,B5DFB2,313048,target gene,No,11
Anapc7,D3ZIT4,304490,target gene,No,6
Sebox,G3V797,-,target gene,No,2
Snx5,B1H267,296199,target gene,No,15
Sergef,D3ZN16,365243,target gene,No,6
Zfp949,D3ZNQ5,100233177,target gene,No,7
Grin1,P35439,24408,target gene,No,7
Hsd17b12,Q6P7R8,84013,target gene,No,11
Slbp,B3DM97,681062,target gene,No,11
Pnpla8,D3ZRC4,314075,target gene,No,11
Ahcy,P10760,29443,target gene,No,8
Gls,A0A0G2K1T0,-,target gene,No,11
Cdk1,P39951,54237,target gene,No,8
Stk32a,D3ZD18,364858,target gene,No,3
Bend7,F1M8D4,-,target gene,No,2
Abi1,Q9QZM5,79249,target gene,No,14
Ccdc157,D3ZKW4,681091,target gene,No,8
Hmx3,D4A585,293537,target gene,No,1
Atf5,A0A0G2JSS0,282840,target gene,No,5
Ppp3ca,P63329,24674,target gene,No,10
Msh6,D4A0U9,100360342,target gene,No,7
Insig2,Q80UA9,288985,target gene,No,10
Rsph14,A0A0G2K0V7,365552,target gene,No,3
Pmaip1,Q5U777,492821,target gene,No,4
Arfgap1,Q62848,246310,target gene,No,12
Actr8,D3ZVT1,361107,target gene,No,11
Polr2c,Q5EB90,361365,target gene,No,10
Aagab,Q9R0Z7,171435,target gene,No,12
Pi4k2a,Q99M64,114554,target gene,No,8
Scamp4,Q5EAN5,65170,target gene,No,7
Nt5m,D4A5J2,287368,target gene,No,5
Sgms1,Q7TSX5,353229,target gene,No,4
Usp36,D3ZNQ4,303700,target gene,No,10
Cnbp,P62634,64530,target gene,No,12
Nup98,P49793,81738,target gene,No,8
Mfge8,P70490,25277,target gene,No,9
Rab24,A0A096MKB0,361208,target gene,No,10
Coq7,G3V879,-,target gene,No,9
Denr,D3ZU54,-,target gene,No,14
Flot1,Q9Z1E1,64665,target gene,No,13
Map2k6,Q925D6,114495,target gene,No,9
Zfp133,F7FQD8,499900,target gene,No,12
Zfr,Q562A2,-,target gene,No,12
Sumo3,Q5XIF4,499417,target gene,No,7
Pdia6,A0A0G2JSZ5,286906,target gene,No,9
Ccnt1,D3ZC98,315291,target gene,No,12
Chchd4,Q5BJN5,100361898;312559,target gene,No,12
Eif1,B0K008,287703,target gene,No,8
Rdh8,D4A8D2,690953,target gene,No,3
Maea,Q5RKJ1,298982,target gene,No,9
Armcx4,D3ZV39,-,target gene,No,1
Ssh3,F1LR78,-,target gene,No,5
Zmat2,D4AD01,679898,target gene,No,8
Sec16a,D3ZN76,100360302,target gene,No,11
Pias1,G3V9T0,-,target gene,No,8
-,M0R4I5,-,target gene,No,8
Exosc10,D4A1X2,313707,target gene,No,9
Rarg,D3ZWV0,685072,target gene,No,9
Phyh,P57093,114209,target gene,No,13
Rnf32,F7ENQ2,311936,target gene,No,8
Nupl2,D3ZHV0,499974,target gene,No,7
Slc8a3,P70549,140448,target gene,No,1
-,Q6AYM0,500124,target gene,No,10
Rps2,P27952,83789,target gene,No,11
Tax1bp3,Q4QQV1,360564,target gene,No,11
Spa17,Q9Z1K2,85244,target gene,No,9
Cyp4f17,D4AB65,500801,target gene,No,9
-,D3ZU53,-,target gene,No,10
Gzf1,D3ZUU2,311508,target gene,No,11
Cfap97d1,D3ZAA8,498004,target gene,No,6
Dnajc2,A0A0G2JSM0,116456,target gene,No,12
Gucy1b1,P20595,25202,target gene,No,3
Pdcd11,D3ZNI3,309458,target gene,No,8
Tbc1d9,A0A0G2K9K0,304645,target gene,No,11
Ehmt2,Q6MG72,361798,target gene,No,8
Slc25a32,B2GV53,315023,target gene,No,11
Itpk1,A0A0G2K7L4,500709,target gene,No,9
Lin7c,Q792I0,60442,target gene,No,8
Sufu,Q4V8C6,361769,target gene,No,8
Map2,F1MAQ5,25595,target gene,No,6
Ctsl,P07154,25697,target gene,No,7
Kars1,Q5XIM7,292028,target gene,No,8
Olr465,A0A0G2JUK9,295735,target gene,No,1
Myef2,D4AEI5,679712,target gene,No,9
Nhej1,Q6AYI4,363251,target gene,No,12
Abraxas1,G3V696,-,target gene,No,12
Plekhs1,D3ZM82,499377,target gene,No,4
Pip5k1c,Q3MID5,314641,target gene,No,9
Primpol,D4A8C0,361147,target gene,No,9
Caps2,A0A0G2JWR8,366891,target gene,No,7
Dpysl3,Q62952,25418,target gene,No,5
Kdm1b,D3ZP89,306819,target gene,No,10
Hif1an,B0BNG5,309434,target gene,No,9
Tmem98,Q6AYS5,303356,target gene,No,9
Nf2,G3V717,25744,target gene,No,10
Psmb5,G3V7Q6,29425,target gene,No,9
Tbc1d8,F1LWZ7,680133,target gene,No,9
Rtkn2,A0A0G2K1Z6,309729,target gene,No,5
Ndufb3,D4A4P3,301427,target gene,No,13
Tmf1,A0A0G2JZ48,114206,target gene,No,8
Cyp4v2,A2RRT9,266761,target gene,No,2
Cdc25a,G3V8T0,-,target gene,No,9
Ndel1,Q78PB6,170845,target gene,No,9
Mrpl32,D4AEG6,291206,target gene,No,8
Carm1,Q4AE70,363026,target gene,No,12
Aldh3a2,A0A0G2JY43,65183,target gene,No,9
Palb2,D3ZM14,293452,target gene,No,8
Hpn,A0A0G2KB31,-,target gene,No,4
Arpp19,Q712U5,100360828;60336,target gene,No,9
Park7,O88767,117287,target gene,No,13
Cct4,Q7TPB1,29374,target gene,No,10
LOC100912849,F1M098,-,target gene,No,5
Fam13c,F1LUC1,-,target gene,No,4
Icam1,Q00238,25464,target gene,No,7
Zfp655,Q5RKG8,360764,target gene,No,8
-,Q5M888,307008,target gene,No,7
Tmem199,Q5BK13,303332,target gene,No,10
Usp19,M0RDN9,361190,target gene,No,7
Ndufs8,B0BNE6,293652,target gene,No,7
Arhgef37,F1LQ74,307398,target gene,No,4
Dnase2,Q9QZK8,171575,target gene,No,3
Osgep,Q9WVS2,290028,target gene,No,6
Atf7,G3V7X9,315333,target gene,No,12
Ccdc71l,F1M119,-,target gene,No,9
Dxo,Q6MG77,361799,target gene,No,9
Suz12,A0A0G2K2I0,-,target gene,No,10
Olr1450,D3ZBY9,405049,target gene,No,1
Bloc1s1,D3ZKU7,288785,target gene,No,7
Ccdc25,D4AAU6,361059,target gene,No,8
Slc25a26,D4A6Y6,-,target gene,No,9
Map3k8,G3V840,116596,target gene,No,4
Ptpdc1,A0A0G2KB18,291022,target gene,No,8
Tmem140,Q5M826,362334,target gene,No,5
Aldh16a1,Q3T1L0,361571,target gene,No,9
Ophn1,P0CAX5,312108,target gene,No,7
-,D3ZVK5,-,target gene,No,4
Sntb2,D3ZMX6,689421,target gene,No,8
Cpne5,D3ZGN2,309650,target gene,No,2
Pbrm1,D3ZT52,306254,target gene,No,9
Stx1a,P32851,116470,target gene,No,4
Pds5b,D3ZXE2,304218,target gene,No,10
Uba5,Q5M7A4,300968,target gene,No,11
Naif1,M0R6C4,687739,target gene,No,10
Abcc3,A0A0G2K4K3,140668,target gene,No,4
Med15,G3V684,360743,target gene,No,10
Ntn3,G3V6X3,114524,target gene,No,1
P2ry4,O35811,63843,target gene,No,3
Gabarap,P60517,58974,target gene,No,13
Matr3,A0A0G2JSR7,29150,target gene,No,12
Abr,A0A0G2JTR4,287537,target gene,No,11
Dpys,Q63150,65135,target gene,No,6
RGD1311703,G3V8R0,293160,target gene,No,13
Sharpin,Q9EQL9,81859,target gene,No,9
Irak4,D4A7K4,300177,target gene,No,11
Arhgap12,A0A0G2K1Z2,307016,target gene,No,11
Pla2g4a,Q6IRF5,24653,target gene,No,1
Coq8a,Q5BJQ0,360887,target gene,No,9
Bag4,F1M3K6,-,target gene,No,9
Mkln1,A0A0G2K9Q2,-,target gene,No,9
Ggnbp1,Q5J2D6,494520,target gene,No,5
Cuta,G3V616,294288,target gene,No,9
Prss44,B5DF96,501060,target gene,No,1
Zbtb37,D3ZGJ3,304918,target gene,No,11
Zfp458,Q5U307,499563,target gene,No,5
RGD1561215,M0R4X2,-,target gene,No,2
Ugt2b35,Q68G19,83808,target gene,No,4
Cnot7,B3DMA5,306492,target gene,No,9
Adat2,M0RA73,-,target gene,No,13
C17h6orf52,D4AAN9,498729,target gene,No,3
Myadml2,B2RZ87,303744,target gene,No,6
Tedc2,B2GV34,100158225,target gene,No,8
Arhgap35,P81128,306400,target gene,No,11
Nudt9,Q5XIG0,305149,target gene,No,11
Nop56,Q4KLK7,362214,target gene,No,13
Mapre1,Q66HR2,114764,target gene,No,12
Akr1c19,D3ZEL2,307096,target gene,No,8
Oat,P04182,64313,target gene,No,6
Ccng1,P39950,25405,target gene,No,8
Aptx,Q8K4H4,259271,target gene,No,8
Slc36a4,D3ZMH7,315439,target gene,No,3
Atf2,Q00969,81647,target gene,No,13
Lrrc27,B0BN00,499281,target gene,No,9
Vangl2,P84889,289229,target gene,No,5
Slc25a10,O89035,170943,target gene,No,14
Zfp394,Q498N6,-,target gene,No,7
Uhmk1,R9PXR8,-,target gene,No,7
Sh3glb1,Q6AYE2,292156,target gene,No,10
Asap3,M0R5J1,-,target gene,No,6
Pde12,Q6AXQ5,-,target gene,No,8
Uqcrq,Q7TQ16,497902,target gene,No,11
Rpl6,P21533,117042,target gene,No,10
RGD1311744,D4A1U8,-,target gene,No,3
Lgi2,F7ESR8,-,target gene,No,3
Vgf,F1LP80,29461,target gene,No,2
